scene_id,disaster,pre_black_fraction,post_black_fraction,pre_brightness,post_brightness,pre_contrast,post_contrast,mean_abs_rgb_change
hurricane-michael_00000307,hurricane-michael,0.0,0.0,80.1561050415039,88.06796264648438,24.523826599121094,23.010475158691406,18.57996940612793
hurricane-matthew_00000192,hurricane-matthew,0.0,0.0,73.40259552001953,69.46733856201172,16.283357620239258,12.365899085998535,13.90646743774414
socal-fire_00001115,socal-fire,0.1394314236111111,0.1257595486111111,89.06851196289062,84.28201293945312,45.35316467285156,40.61782455444336,16.634729385375977
hurricane-michael_00000485,hurricane-michael,0.0,0.0,74.30815124511719,72.6479721069336,30.160907745361328,28.31476402282715,9.92198371887207
palu-tsunami_00000024,palu-tsunami,0.0020616319444444445,0.0,104.46737670898438,100.8286361694336,27.10676383972168,28.83062171936035,13.082826614379883
midwest-flooding_00000406,midwest-flooding,0.0,0.0,55.26805114746094,97.04093933105469,9.875789642333984,11.524312019348145,43.144134521484375
socal-fire_00000403,socal-fire,0.0,0.0,67.29441833496094,80.67686462402344,17.003217697143555,24.917564392089844,19.751880645751953
socal-fire_00000065,socal-fire,0.0,0.0,78.6181640625,76.66041564941406,22.427082061767578,19.773895263671875,6.49891471862793
midwest-flooding_00000061,midwest-flooding,0.0,0.0,91.48883056640625,94.81514739990234,39.360389709472656,42.404476165771484,12.954933166503906
hurricane-michael_00000344,hurricane-michael,0.0,0.0,94.60698699951172,87.19024658203125,30.826318740844727,27.739702224731445,14.867259979248047
socal-fire_00000740,socal-fire,0.0,0.0,57.01686096191406,62.56228256225586,16.34496307373047,20.5324649810791,11.867982864379883
socal-fire_00001083,socal-fire,0.0,0.0,58.02333068847656,60.03870391845703,15.216397285461426,21.22991371154785,11.408166885375977
palu-tsunami_00000109,palu-tsunami,0.0,0.0,90.41468048095703,92.79829406738281,23.549625396728516,31.005985260009766,14.818938255310059
hurricane-michael_00000195,hurricane-michael,0.0,0.0,87.50546264648438,88.24638366699219,23.812057495117188,27.26422882080078,21.68174934387207
socal-fire_00000230,socal-fire,0.0,0.0,73.6631851196289,75.54267883300781,22.698795318603516,19.9310359954834,10.78797721862793
hurricane-harvey_00000197,hurricane-harvey,0.0,0.0,101.22457122802734,85.193359375,31.555967330932617,30.986003875732422,24.10774803161621
hurricane-matthew_00000043,hurricane-matthew,0.0,0.0,91.53888702392578,92.49229431152344,41.93296432495117,23.85346031188965,27.92035675048828
socal-fire_00001136,socal-fire,0.0,0.0,95.45529174804688,104.35163116455078,29.04399299621582,39.10050964355469,16.473018646240234
hurricane-florence_00000515,hurricane-florence,0.22471788194444445,0.2197265625,52.59931945800781,49.16753387451172,37.33213424682617,31.246231079101562,10.053892135620117
hurricane-michael_00000324,hurricane-michael,0.0,0.0,69.94795227050781,59.05335235595703,20.682720184326172,34.576744079589844,26.03407096862793
santa-rosa-wildfire_00000006,santa-rosa-wildfire,0.020833333333333332,0.020833333333333332,104.7345199584961,107.83377075195312,35.913238525390625,36.66107177734375,17.216291427612305
socal-fire_00001275,socal-fire,0.0,0.0,66.62138366699219,71.02665710449219,15.694600105285645,16.490753173828125,9.917281150817871
hurricane-harvey_00000100,hurricane-harvey,0.0,0.0,97.00245666503906,132.83126831054688,20.101951599121094,25.992149353027344,41.418365478515625
socal-fire_00000838,socal-fire,0.0,0.0,75.56311798095703,72.93814086914062,15.37065315246582,14.400599479675293,8.156720161437988
hurricane-matthew_00000072,hurricane-matthew,0.041666666666666664,0.047417534722222224,82.8984375,81.49699401855469,28.15825653076172,28.540313720703125,15.359700202941895
hurricane-harvey_00000153,hurricane-harvey,0.0,0.0,81.59187316894531,106.36801147460938,36.87662887573242,44.95531463623047,36.888275146484375
socal-fire_00000915,socal-fire,0.0,0.0,63.74605941772461,69.60192108154297,18.801156997680664,19.58303451538086,10.678349494934082
hurricane-matthew_00000289,hurricane-matthew,0.0,0.0,88.06673431396484,89.65263366699219,35.2243766784668,29.909740447998047,25.348705291748047
santa-rosa-wildfire_00000280,santa-rosa-wildfire,0.0,0.0,107.9675521850586,60.11139678955078,21.89573097229004,23.595836639404297,50.14247131347656
