scene_id,disaster,post_json_path,pre_image_path,post_image_path,building_count,unclassified_count,mean_polygon_area,median_polygon_area,gsd,off_nadir_angle,sun_elevation,sensor,no-damage,minor-damage,major-damage,destroyed
guatemala-volcano_00000000,guatemala-volcano,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/labels/guatemala-volcano_00000000_post_disaster.json,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000000_pre_disaster.png,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000000_post_disaster.png,10,0,1520.5550116636318,584.0623641070536,1.4085245,21.97336,71.182274,WORLDVIEW03_VNIR,10,0,0,0
guatemala-volcano_00000001,guatemala-volcano,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/labels/guatemala-volcano_00000001_post_disaster.json,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000001_pre_disaster.png,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000001_post_disaster.png,4,0,597.6958728109158,576.1153693750907,1.4085245,21.97336,71.182274,WORLDVIEW03_VNIR,0,4,0,0
guatemala-volcano_00000002,guatemala-volcano,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/labels/guatemala-volcano_00000002_post_disaster.json,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000002_pre_disaster.png,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000002_post_disaster.png,1,0,2395.8399135644145,2395.8399135644145,1.4085245,21.97336,71.182274,WORLDVIEW03_VNIR,0,0,0,1
guatemala-volcano_00000006,guatemala-volcano,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/labels/guatemala-volcano_00000006_post_disaster.json,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000006_pre_disaster.png,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000006_post_disaster.png,97,0,441.8827353672987,374.03221664417777,1.4085245,21.97336,71.182274,WORLDVIEW03_VNIR,97,0,0,0
guatemala-volcano_00000007,guatemala-volcano,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/labels/guatemala-volcano_00000007_post_disaster.json,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000007_pre_disaster.png,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000007_post_disaster.png,9,0,1015.3701949520514,663.351528583515,1.4085245,21.97336,71.182274,WORLDVIEW03_VNIR,9,0,0,0
guatemala-volcano_00000008,guatemala-volcano,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/labels/guatemala-volcano_00000008_post_disaster.json,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000008_pre_disaster.png,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000008_post_disaster.png,0,0,,,1.4085245,21.97336,71.182274,WORLDVIEW03_VNIR,0,0,0,0
guatemala-volcano_00000010,guatemala-volcano,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/labels/guatemala-volcano_00000010_post_disaster.json,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000010_pre_disaster.png,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000010_post_disaster.png,2,0,24.209755150227597,24.209755150227597,1.4085245,21.97336,71.182274,WORLDVIEW03_VNIR,0,0,0,2
guatemala-volcano_00000013,guatemala-volcano,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/labels/guatemala-volcano_00000013_post_disaster.json,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000013_pre_disaster.png,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000013_post_disaster.png,13,0,1471.6456753538682,1005.4052828885497,1.4085245,21.97336,71.182274,WORLDVIEW03_VNIR,13,0,0,0
guatemala-volcano_00000015,guatemala-volcano,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/labels/guatemala-volcano_00000015_post_disaster.json,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000015_pre_disaster.png,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000015_post_disaster.png,131,0,425.21681896456374,400.1674288444966,1.4085245,21.97336,71.182274,WORLDVIEW03_VNIR,131,0,0,0
guatemala-volcano_00000016,guatemala-volcano,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/labels/guatemala-volcano_00000016_post_disaster.json,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000016_pre_disaster.png,/kaggle/input/datasets/tunguz/xview2-challenge-dataset-train-and-test/train/train/images/guatemala-volcano_00000016_post_disaster.png,7,0,1392.0827951414085,90.7171439366753,1.4085245,21.97336,71.182274,WORLDVIEW03_VNIR,5,2,0,0
